Accession,Length,Description
PV168469.1,721,"Cystobacter fuscus strain GXIMD01665b 16S ribosomal RNA gene, partial sequence"
PV168467.1,1394,"Cystobacter fuscus strain GXIMD01665a 16S ribosomal RNA gene, partial sequence"
PV168456.1,720,"Cystobacter fuscus strain GXIMD01665c 16S ribosomal RNA gene, partial sequence"
JBMEQP000000000.1,3,"Cystobacter fuscus strain NCWS, whole genome shotgun sequencing project"
NZ_CP022098.1,12349744,"Cystobacter fuscus strain DSM 52655 chromosome, complete genome"
PQ898077.1,1487,"Cystobacter fuscus strain BM20 16S ribosomal RNA gene, partial sequence"
OQ048358.1,1392,"Cystobacter ferrugineus strain NSE42 16S ribosomal RNA gene, partial sequence"
OQ048356.1,1392,"Cystobacter ferrugineus strain NSE37-1 16S ribosomal RNA gene, partial sequence"
OQ048348.1,1398,"Cystobacter ferrugineus strain NSD30 16S ribosomal RNA gene, partial sequence"
NZ_CP043492.1,12231006,"Cystobacter fuscus strain Cbf 8 chromosome, complete genome"
NZ_CP043491.1,11853193,"Cystobacter fuscus strain Cbf 10 chromosome, complete genome"
NZ_ANAH00000000.2,12282374,"Cystobacter fuscus DSM 2262, whole genome shotgun sequencing project"
NZ_ANAH02000076.1,16248,"Cystobacter fuscus DSM 2262 contig76, whole genome shotgun sequence"
NZ_ANAH02000075.1,91427,"Cystobacter fuscus DSM 2262 contig75, whole genome shotgun sequence"
NZ_ANAH02000074.1,184433,"Cystobacter fuscus DSM 2262 contig74, whole genome shotgun sequence"
NZ_ANAH02000073.1,196436,"Cystobacter fuscus DSM 2262 contig73, whole genome shotgun sequence"
NZ_ANAH02000072.1,87802,"Cystobacter fuscus DSM 2262 contig72, whole genome shotgun sequence"
NZ_ANAH02000071.1,397113,"Cystobacter fuscus DSM 2262 contig71, whole genome shotgun sequence"
NZ_ANAH02000070.1,1540,"Cystobacter fuscus DSM 2262 contig70, whole genome shotgun sequence"
NZ_ANAH02000069.1,174218,"Cystobacter fuscus DSM 2262 contig69, whole genome shotgun sequence"
NZ_ANAH02000068.1,1996,"Cystobacter fuscus DSM 2262 contig68, whole genome shotgun sequence"
NZ_ANAH02000067.1,202463,"Cystobacter fuscus DSM 2262 contig67, whole genome shotgun sequence"
NZ_ANAH02000066.1,819739,"Cystobacter fuscus DSM 2262 contig66, whole genome shotgun sequence"
NZ_ANAH02000065.1,190362,"Cystobacter fuscus DSM 2262 contig65, whole genome shotgun sequence"
NZ_ANAH02000064.1,661937,"Cystobacter fuscus DSM 2262 contig64, whole genome shotgun sequence"
NZ_ANAH02000063.1,52431,"Cystobacter fuscus DSM 2262 contig63, whole genome shotgun sequence"
NZ_ANAH02000062.1,546,"Cystobacter fuscus DSM 2262 contig62, whole genome shotgun sequence"
NZ_ANAH02000058.1,641,"Cystobacter fuscus DSM 2262 contig58, whole genome shotgun sequence"
NZ_ANAH02000057.1,6715,"Cystobacter fuscus DSM 2262 contig57, whole genome shotgun sequence"
NZ_ANAH02000056.1,670,"Cystobacter fuscus DSM 2262 contig56, whole genome shotgun sequence"
NZ_ANAH02000051.1,839,"Cystobacter fuscus DSM 2262 contig51, whole genome shotgun sequence"
NZ_ANAH02000049.1,85343,"Cystobacter fuscus DSM 2262 contig49, whole genome shotgun sequence"
NZ_ANAH02000047.1,1132,"Cystobacter fuscus DSM 2262 contig47, whole genome shotgun sequence"
NZ_ANAH02000046.1,1196,"Cystobacter fuscus DSM 2262 contig46, whole genome shotgun sequence"
NZ_ANAH02000045.1,2006,"Cystobacter fuscus DSM 2262 contig45, whole genome shotgun sequence"
NZ_ANAH02000044.1,2364,"Cystobacter fuscus DSM 2262 contig44, whole genome shotgun sequence"
NZ_ANAH02000043.1,2443,"Cystobacter fuscus DSM 2262 contig43, whole genome shotgun sequence"
NZ_ANAH02000042.1,3063,"Cystobacter fuscus DSM 2262 contig42, whole genome shotgun sequence"
NZ_ANAH02000041.1,4705,"Cystobacter fuscus DSM 2262 contig41, whole genome shotgun sequence"
NZ_ANAH02000039.1,6905,"Cystobacter fuscus DSM 2262 contig39, whole genome shotgun sequence"
NZ_ANAH02000038.1,7468,"Cystobacter fuscus DSM 2262 contig38, whole genome shotgun sequence"
NZ_ANAH02000037.1,9387,"Cystobacter fuscus DSM 2262 contig37, whole genome shotgun sequence"
NZ_ANAH02000036.1,3438,"Cystobacter fuscus DSM 2262 contig36, whole genome shotgun sequence"
NZ_ANAH02000035.1,23118,"Cystobacter fuscus DSM 2262 contig35, whole genome shotgun sequence"
NZ_ANAH02000034.1,41153,"Cystobacter fuscus DSM 2262 contig34, whole genome shotgun sequence"
NZ_ANAH02000033.1,41974,"Cystobacter fuscus DSM 2262 contig33, whole genome shotgun sequence"
NZ_ANAH02000032.1,71577,"Cystobacter fuscus DSM 2262 contig32, whole genome shotgun sequence"
NZ_ANAH02000031.1,93636,"Cystobacter fuscus DSM 2262 contig31, whole genome shotgun sequence"
NZ_ANAH02000030.1,44317,"Cystobacter fuscus DSM 2262 contig30, whole genome shotgun sequence"
NZ_ANAH02000029.1,5199,"Cystobacter fuscus DSM 2262 contig29, whole genome shotgun sequence"
NZ_ANAH02000028.1,133771,"Cystobacter fuscus DSM 2262 contig28, whole genome shotgun sequence"
NZ_ANAH02000027.1,140567,"Cystobacter fuscus DSM 2262 contig27, whole genome shotgun sequence"
NZ_ANAH02000026.1,144828,"Cystobacter fuscus DSM 2262 contig26, whole genome shotgun sequence"
NZ_ANAH02000025.1,152194,"Cystobacter fuscus DSM 2262 contig25, whole genome shotgun sequence"
NZ_ANAH02000024.1,158941,"Cystobacter fuscus DSM 2262 contig24, whole genome shotgun sequence"
NZ_ANAH02000023.1,185379,"Cystobacter fuscus DSM 2262 contig23, whole genome shotgun sequence"
NZ_ANAH02000022.1,108472,"Cystobacter fuscus DSM 2262 contig22, whole genome shotgun sequence"
NZ_ANAH02000021.1,201313,"Cystobacter fuscus DSM 2262 contig21, whole genome shotgun sequence"
NZ_ANAH02000020.1,204353,"Cystobacter fuscus DSM 2262 contig20, whole genome shotgun sequence"
NZ_ANAH02000019.1,24320,"Cystobacter fuscus DSM 2262 contig19, whole genome shotgun sequence"
NZ_ANAH02000018.1,235861,"Cystobacter fuscus DSM 2262 contig18, whole genome shotgun sequence"
NZ_ANAH02000017.1,291538,"Cystobacter fuscus DSM 2262 contig17, whole genome shotgun sequence"
NZ_ANAH02000016.1,109973,"Cystobacter fuscus DSM 2262 contig16, whole genome shotgun sequence"
NZ_ANAH02000015.1,363166,"Cystobacter fuscus DSM 2262 contig15, whole genome shotgun sequence"
NZ_ANAH02000014.1,398763,"Cystobacter fuscus DSM 2262 contig14, whole genome shotgun sequence"
